강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간
C Programming Basics For Microcontrollers & Embedded System,https://www.udemy.com/course/c-programming-for-microcontrollers/,Educational Engineering Team,3.3477771,253,19740,32,3.5시간
Introduction to Raspberry Pi 4,https://www.udemy.com/course/introduction-to-raspberry-pi-4/,Venkatesh Varadachari,4.1861715,252,1428,33,4시간
"Internet of Things IOT, Robotics and Hacking with NodeMCU",https://www.udemy.com/course/iot-robotics-hacking-nodemcu/,Paul Chin,4.7470646,249,29680,52,5.5시간
KiCad Like a Pro 3rd edition,https://www.udemy.com/course/kicad-like-a-pro-3e/,Dr. Peter Dalmaris,4.603882,247,1597,193,24.5시간
Crazy about Arduino: Your End-to-End Workshop - Level 1,https://www.udemy.com/course/crazy-about-arduino-your-end-to-end-workshop-level-1/,Idan Gabrieli,4.0686607,246,30255,68,3시간
Ultimate Guide to the Arduino,https://www.udemy.com/course/ultimate-guide-to-the-arduino/,Circuit Basics,4.1593323,244,1064,45,10시간
FPGA Design and VHDL,https://www.udemy.com/course/fpgavhdl/,"Eduvance (Microchip Certified Trainer, AUP Trainer, CUA Trainer)",4.3888936,243,1653,28,7.5시간
Writing SystemVerilog Testbenches for Newbie,https://www.udemy.com/course/system-verilog-for-chip-verification/,Kumar Khandagle,4.579879,236,1262,93,8.5시간
Arduino Passo a Passo: Primeiros Passos,https://www.udemy.com/course/tech-explorationstm-arduino-passo-a-passo-primeiros-passos/,Dr. Peter Dalmaris,4.8582616,232,974,124,16시간
Mastering Arduino by Building Real World Applications,https://www.udemy.com/course/mastering-arduino-uno/,Umesh Lokhande,4.599838,232,1492,33,5.5시간
Advanced ESP32,https://www.udemy.com/course/advanced-esp32/,Venkatesh Varadachari,4.1536183,231,1876,32,4시간
USB Behind the Scenes: Hands-on HID Firmware Development,https://www.udemy.com/course/usb-behind-the-scenes-hands-on-hid-firmware-development/,Mohammed Noureldin,4.6407423,231,1762,166,14.5시간
Introduction to Internet of Things(IoT) using Raspberry Pi 2,https://www.udemy.com/course/introduction-to-iot-using-raspberry-pi-2/,Venkatesh Varadachari,3.7357416,229,11563,26,1시간
PLC Programming Basics to Advanced Siemens S7-1200,https://www.udemy.com/course/introduction-to-automation-tutorialbay/,Mepi.pl Video Tutorials,3.9594812,228,1253,59,9시간
Sensors: Everything You Need To Know,https://www.udemy.com/course/sensors-interfacing-sensor-wiring-sensor-temperature-humidity-sensors/,Educational Engineering Team,3.8297672,225,31393,29,2시간
