강의명,url,강사명,별점,별점 수,수강생 수,강의 수,강의 총 시간,category
"Python, JS, & React | Build a Blockchain & Cryptocurrency",https://www.udemy.com/course/python-js-react-blockchain/,David Joseph Katz,4.5,776,5706,133,900.0,software_engineering
"Event-Driven Microservices: Spring Boot, Kafka and Elastic",https://www.udemy.com/course/event-driven-microservices-spring-boot-kafka-and-elasticsearch/,Ali Gelenler,4.4,770,9853,97,660.0,software_engineering
Data Analysis in Python with Pandas,https://www.udemy.com/course/data-analysis-in-python-with-pandas/,Bill Chambers,3.9,755,5779,34,300.0,software_engineering
Beat the Codility Coding Interview in Java,https://www.udemy.com/course/beat-the-codility-coding-interview-in-java/,James Cutajar,4.5,749,3064,93,390.0,software_engineering
"Competitive Programming Essentials,  Master Algorithms 2022",https://www.udemy.com/course/competitive-programming-algorithms-coding-minutes/,Prateek Narang,4.5,726,7442,342,3420.0,software_engineering
Data Structures and Algorithms in C++ For Coding Interview,https://www.udemy.com/course/data-structures-and-algorithms-cplusplus-for-interviews/,El Farouk Yasser,4.5,722,6395,63,420.0,software_engineering
APIs: Crash Course,https://www.udemy.com/course/learn-apis/,Christopher Michael,4.6,722,3295,19,120.0,software_engineering
TDD in C# From A to Z,https://www.udemy.com/course/tdd-csharp/,Engineer Spock,4.3,710,3941,83,570.0,software_engineering
MTA 98-361 Software Development Fundamentals C# Exam Prep,https://www.udemy.com/course/mta-98-361-software-development-fundamentals-cs-exam-prep/,Sonia Cross,4.3,700,3165,0,,software_engineering
AWS Identity Access Management (IAM) Practical Applications,https://www.udemy.com/course/aws-identity-access-management-practical-applications/,Brian Choi,4.7,695,2810,21,210.0,software_engineering
Software Architecture & Design of Modern Large Scale Systems,https://www.udemy.com/course/software-architecture-design-of-modern-large-scale-systems/,Michael Pogrebinsky | Java Expert & Software Architecture Specialist,4.5,681,6231,36,330.0,software_engineering
CDI/CD with TeamCity From Beginner to Advanced,https://www.udemy.com/course/teamcity-2017-build-and-deploy-the-modern-way/,Aref Karimi,4.3,679,5666,41,420.0,software_engineering
Akka Streams with Scala | Rock the JVM,https://www.udemy.com/course/akka-streams/,Daniel Ciocîrlan,4.8,670,4560,25,510.0,software_engineering
Beat the Codility Coding Interview in Python,https://www.udemy.com/course/beat-the-codility-coding-interview-in-python/,James Cutajar,4.6,653,4126,93,390.0,software_engineering
Domain Driven Design & Microservices for Architects,https://www.udemy.com/course/domain-driven-design-and-microservices/,Rajeev Sakhuja,4.5,650,6337,115,750.0,software_engineering
Kubernetes for developers,https://www.udemy.com/course/kubernetes-for-developers/,Houssem Dellai,4.3,639,49606,53,300.0,software_engineering
Data Structures and Algorithms In Java,https://www.udemy.com/course/data-structures-and-algorithms-in-java/,Deepali Srivastava,4.8,636,3098,149,630.0,software_engineering
Learn Python: Python in 80 Minutes for Beginners (2022),https://www.udemy.com/course/learn-python-in-80-minutes/,Muhammed Ali Dilek,4.4,627,15752,23,90.0,software_engineering
QC051: Math Prerequisites for Quantum Computing,https://www.udemy.com/course/mathematics-prerequisites-for-quantum-computing-and-quantum-physics/,Kumaresan Ramanathan,4.6,622,3055,114,240.0,software_engineering
Hacking with macOS - Build 18 Desktop Apps with Swift 5,https://www.udemy.com/course/hacking-with-macos-and-swift4/,Stephen DeStefano,4.7,619,4625,109,900.0,software_engineering
GitLab CI - A Complete Hands-On for CI/CD Pipelines & DevOps,https://www.udemy.com/course/gitlab-cicd-course/,A to Z Mentors,4.4,614,4741,81,480.0,software_engineering
Master .NET and C# Unit Testing with NUnit and Moq,https://www.udemy.com/course/nunit-moq/,Dmitri Nesteruk,4.3,614,3847,44,180.0,software_engineering
MVVM in WPF Survival Guide From A to Z,https://www.udemy.com/course/mvvm-in-wpf-survival-guide-from-a-to-z/,Engineer Spock,3.8,588,3437,93,270.0,software_engineering
Data Structures and Algorithms In Python,https://www.udemy.com/course/data-structures-algorithms-in-python/,Deepali Srivastava,4.4,585,2465,133,630.0,software_engineering
Python Programming & Software Design For Absolute Beginners,https://www.udemy.com/course/python-programming-software-design-for-absolute-beginners/,Academy of Computing & Artificial Intelligence,4.7,578,53004,39,240.0,software_engineering
Linux Shell Programming for Beginners,https://www.udemy.com/course/linux-shell-programming-for-beginners/,Eduonix Learning Solutions,4.4,573,4260,42,570.0,software_engineering
SOLID Software Architecture: Complete Guide with Coding Examples,https://www.udemy.com/course/solid-software-architecture-complete-guide-with-c-examples/,Binary Brain,4.1,570,3337,11,60.0,software_engineering
Kubernetes from A to Z™,https://www.udemy.com/course/kubernetes-for-beginners/,Stefan Thorpe,3.8,570,8469,27,120.0,software_engineering
gRPC C# Master Class: Build Modern API & Microservices,https://www.udemy.com/course/grpc-csharp/,Clément Jean,4.7,569,4411,66,240.0,software_engineering
Learn Multithreading in C++,https://www.udemy.com/course/cplusplus-multithreading/,John Purcell,4.2,565,2509,29,210.0,software_engineering
Learn Cloud Computing from Scratch,https://www.udemy.com/course/learn-cloud-computing-from-scratch/,Eduonix Learning Solutions,3.6,564,13377,10,150.0,software_engineering
Master Spring Boot Microservices with CQRS & Event Sourcing,https://www.udemy.com/course/master-spring-boot-microservices-with-cqrs-event-sourcing/,Sean Campbell,4.4,558,4180,52,420.0,software_engineering
Bluetooth Low Energy (BLE)  From  Ground Up™,https://www.udemy.com/course/bluetooth-low-energy-ble/,Israel Gbati,4.1,558,4130,106,930.0,software_engineering
Complete guide to AWS Step Functions,https://www.udemy.com/course/complete-guide-to-aws-step-functions/,Yan Cui,4.5,552,3633,42,150.0,software_engineering
Project in DevOps - Build Real World Processes,https://www.udemy.com/course/project-in-devops-build-real-world-processes/,Eduonix Learning Solutions,3.9,550,3546,59,540.0,software_engineering
Real-time Credit card Fraud Detection using Spark 2.2,https://www.udemy.com/course/real-time-creditcard-fraud-detection-using-spark/,Pramod Narayana,4.1,550,3442,30,180.0,software_engineering
JavaScript & LeetCode | The Interview Bootcamp,https://www.udemy.com/course/ultimate-javascript-leetcode-interview-bootcamp/,Kevin Nguyen,4.9,549,35116,66,300.0,software_engineering
From 0 to 1: Design Patterns - 24 That Matter - In Java,https://www.udemy.com/course/from-0-to-1-design-patterns/,Loony Corn,3.4,549,7515,63,690.0,software_engineering
Learn Flowcharting and Pseudocode. Be a better programmer!,https://www.udemy.com/course/flowchartingcourse/,Richard Vannoy II,4.0,543,2808,21,360.0,software_engineering
PCB Designing (with 3D Model) in Orcad 17.2 [2021],https://www.udemy.com/course/orcad2019/,Rajandeep Singh,4.5,543,4397,100,750.0,software_engineering
LeetCode in Java: Algorithms Coding Interview Questions,https://www.udemy.com/course/leetcode-coding-interview-question-solution-explanation/,Md. A. Barik,3.9,540,73682,146,1860.0,software_engineering
Devops: Jenkins Pipeline As Code: All you need to know A - Z,https://www.udemy.com/course/jenkins-pipeline-as-code-all-you-need-to-know-from-a-z/,Accelerated Skillup .,4.1,534,5163,101,450.0,software_engineering
Vagrant Quick Start: Virtualized Development Environments,https://www.udemy.com/course/vagrant-quick-start/,Jason Taylor,4.4,533,31454,52,120.0,software_engineering
Deploy Infra in the Cloud using Terraform,https://www.udemy.com/course/deploy-infra-in-the-cloud-using-terraform/,Houssem Dellai,4.5,517,32564,76,330.0,software_engineering
Mendix : Low-code Application Development Course,https://www.udemy.com/course/mendix-low-code-application-development-course/,Tarik Subaşı,4.4,513,3998,86,390.0,software_engineering
Akka HTTP with Scala | Rock the JVM,https://www.udemy.com/course/akka-http/,Daniel Ciocîrlan,4.8,505,4228,28,600.0,software_engineering
